idweb,dateparution,dept,code_departement,nomacheteur,objet,descripteur_str,famille_libelle,procedure_libelle,nature_libelle,score_perimetre,dans_perimetre,cyclable_detecte,cyclable_mots,alerte_l228,vrai_conforme,faux_conforme,url_avis
25-90739,2025-08-10,87,['87'],DIR CENTRE-OUEST,"RN147 - Pont de Géroux - Communes de Bellac et de Berneuil (87)
Travaux d'étanchéité de l'ouvrage d'art et création d'une GBA en accotement du sens 2",ouvrage d'art,Marchés européens,Procédure Ouverte,Résultat de marché,-2,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:25-90739
25-90758,2025-08-10,974,['974'],SPL MARAINA,MARCHE DE TRAVAUX D'AMENAGEMENT DE LA ZAE DU 19e KM AU TAMPON - Lot 1 : VRD - Lot 2 : Basse tension et éclairage - Lot 3 : Espaces Verts - Lot 4 : Surpresseur,"voirie et réseaux divers, espaces verts",Marchés européens,Procédure Ouverte,Résultat de marché,2,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:25-90758
25-91048,2025-08-10,11,['11'],SAEML ALENIS,Travaux d'aménagement VRD sur la ZAC des Berges de la Robine à Narbonne Tranches 2 à 5,terrassement,Marchés européens,Procédure Ouverte,Résultat de marché,1,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:25-91048
25-90816,2025-08-10,34,['34'],Ville De Montpellier,Accord-cadre à marché subséquent relatif à des travaux d'installations photovoltaïques sur des toitures et ombrières sur le patrimoine municipal et métropolitain,"electricité (travaux), photovoltaïque",Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,False,True,https://www.boamp.fr/pages/avis/?q=idweb:25-90816
25-90964,2025-08-10,974,['974'],COMMUNAUTE INTERCOMMUNALE NORD REUNION,Accord cadre à bons de commande travaux de construction et de réhabilitation sur les réseaux publics d'eaux pluviales urbaines enterrés sur le territoire de la CINOR 2026/2030,"terrassement, voirie et réseaux divers, réseaux divers",Marchés européens,Procédure Ouverte,Avis de marché,2,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:25-90964
25-91017,2025-08-10,59,['59'],GRAND PORT MARITIME DE DUNKERQUE,Réparation d'une brèche sur la paroi moulée du QPO,ouvrage d'art,Marchés européens,Procédure Ouverte,Résultat de marché,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:25-91017
25-91096,2025-08-10,59,['59'],GRAND PORT MARITIME DE DUNKERQUE,CAP 2020 : Travaux de réalisation de colonnes ballastées,fondations spéciales,Marchés européens,Procédure Négociée,Résultat de marché,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:25-91096
25-90863,2025-08-10,57,['57'],RMD (RIVE MOSELLE DEVELOPPEMENT) agissant au nom et pour le compte de la CCRM,0037-Lot4 - Réseaux Argancy,réseaux divers,Marchés européens,Procédure Ouverte,Résultat de marché,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:25-90863
25-90977,2025-08-10,69,['69'],CEREMA,Construction d'un poste de transformation HTA/BT sur le site du Cerema à Bron,transformateur,Marchés européens,Procédure NC,Avis en cas de transparence ex ante volontaire,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:25-90977
25-90982,2025-08-10,60,['60'],Département de l'Oise,AMENAGEMENTS PAYSAGERS SUR LE DOMAINE PUBLIC ROUTIER DU  DEPARTEMENT DE L'OISE,espaces verts,Marchés européens,Procédure Ouverte,Résultat de marché,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:25-90982
