idweb,dateparution,datelimitereponse,dept,code_departement,nomacheteur,objet,descripteur_str,famille_libelle,procedure_libelle,nature_libelle,filename,source_schema,score_perimetre,dans_perimetre,cyclable_detecte,cyclable_mots,alerte_l228,vrai_conforme,faux_conforme,url_avis,url_pdf
26-70168,2026-07-15 00:00:00+00:00,,85,['85'],Vendée Eau (85),26TX071A - TRAVAUX DE REHABILITATION DES RESEAUX D EAUX USEES AVEC OU SANS TRANCHEE - COMMUNUE DE VIX (85),"canalisations, assainissement",Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-70168,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70168,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70168.pdf
26-70151,2026-07-15 00:00:00+00:00,,93,['93'],Département de la Seine-Saint-Denis,Aménagement sportif et paysager de deux tronçons le long de la Rd970 à Sevran,equipement sportif,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,26-70151,3.2.5,0,False,True,piste cyclable,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70151,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70151.pdf
26-70134,2026-07-15 00:00:00+00:00,2026-09-15 12:00:00+00:00,62,"['62', '59']","Communauté d'Agglomération de Béthune-Bruay, Artois Lys Romane",Travaux de démolition - Aire de grand passage à Haisnes,démolition,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70134,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70134,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70134.pdf
26-70148,2026-07-15 00:00:00+00:00,2026-09-11 12:00:00+00:00,56,['56'],Eau du Morbihan,Programme de travaux Cvm 2026-2 - Fourniture et pose de réseaux d'eau potable - Eau du Morbihan,"alimentation en eau potable, canalisations",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70148,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70148,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70148.pdf
26-70413,2026-07-15 00:00:00+00:00,,75,"['75', '91', '93', '94']",RECTORAT DE L'ACADEMIE DE PARIS,Sécurisation et réfection des entrées du site du SIEC,"porte automatique, portail",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,26-70413,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70413,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70413.pdf
26-70255,2026-07-15 00:00:00+00:00,2026-09-11 12:00:00+00:00,82,['82'],Mairie De Genebrieres,Aménagement d'un lotissement communal,voirie et réseaux divers,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70255,3.2.5,2,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70255,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70255.pdf
26-70196,2026-07-15 00:00:00+00:00,2026-09-11 12:00:00+00:00,87,['87'],Conseil Départemental Haute-Vienne,Réalisation de travaux à l'émulsion de bitume,voirie,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70196,3.2.5,2,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70196,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70196.pdf
26-70332,2026-07-15 00:00:00+00:00,2026-09-17 12:00:00+00:00,42,['42'],Ville De Montrond Les Bains,Travaux De Voirie,voirie,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70332,3.2.5,3,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70332,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70332.pdf
26-70435,2026-07-15 00:00:00+00:00,2026-09-25 12:00:00+00:00,49,['49'],Mauges Communauté,Raccordement du hameau de la Basse-Pierre à l'assainissement collectif du Fourneau et mise en séparatif des réseaux d'assainissement du hameau - Commune déléguée de Drain,assainissement,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70435,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70435,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70435.pdf
26-70319,2026-07-15 00:00:00+00:00,2026-09-04 12:00:00+00:00,54,['54'],Métropole du Grand Nancy,Travaux de pose de signalisation verticale permanente et temporaire-.,ouvrage d'infrastructure,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70319,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70319,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70319.pdf
26-70578,2026-07-15 00:00:00+00:00,,64,['64'],Mairie de Sarrance,Travaux de première urgence pour la sauvegarde de l’Eglise de Sarrance,"monuments historiques, bâtiment, peinture (travaux), clocher",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,26-70578,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70578,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70578.pdf
26-70563,2026-07-15 00:00:00+00:00,2026-08-31 12:00:00+00:00,10,['10'],Commune de Rosières-près-Troyes,"DESAMIANTAGE, COUVERTURE ET DIVERS TRAVAUX A LA SALLE DES FETES-.",tous corps d'état,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70563,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70563,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70563.pdf
26-70360,2026-07-15 00:00:00+00:00,,06,['6'],SAS PSLV,TRAVAUX ET INTERVENTIONS HYPERBARES AU PORTS ST LAURENT DU VAR ET GALLICE,travaux dans l'eau,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,26-70360,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70360,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70360.pdf
