idweb,dateparution,datelimitereponse,dept,code_departement,nomacheteur,type_acheteur,objet,descripteur_str,famille_libelle,procedure_libelle,nature_libelle,filename,source_schema,score_perimetre,dans_perimetre,cyclable_detecte,cyclable_mots,alerte_l228,vrai_conforme,faux_conforme,url_avis,url_pdf
26-62098,2026-06-25,,06,['6'],"CD des A-M - Direction de la Construction, de l'Immobilier et du Patrimoine",Autre,"Accord-cadre à bons de commande pour les travaux de menuiseries aluminium, bois et PVC dans les bâtiments départementaux",menuiserie,Marchés européens,Procédure Ouverte,Résultat de marché,26-62098,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62098,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62098.pdf
26-62104,2026-06-25,,54,"['54', '57']",Voies Navigables de France DTNE,Autre,Travaux de batardage et de régénération d'une pompe immergée et de son armoire électrique à l'écluse n°21 du CMRE,"station de pompage, pompes, ecluse",Marchés européens,Procédure Ouverte,Résultat de marché,26-62104,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62104,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62104.pdf
26-62015,2026-06-25,,62,['62'],Mairie  de Béthune,Ville,"M 2026 T 2062 Travaux d'entretien, réparation et rénovation des bâtiments communaux de la Ville de Béthune",tous corps d'état,Marchés européens,Procédure Ouverte,Résultat de marché,26-62015,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62015,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62015.pdf
26-62735,2026-06-25,,42,['42'],Département de la Loire,Département,RENOVATION FONCTIONNELLE ET THERMIQUE BATIMENT DEPARTEMENTAL 23 RUE D'ARCOLE 42000 SAINT ETIENNE,"chauffage (travaux), electricité (travaux), gros oeuvre, menuiserie, peinture (travaux)",Marchés européens,Procédure Ouverte,Résultat de marché,26-62735,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62735,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62735.pdf
26-62181,2026-06-25,2026-07-08 10:00:00,73,['73'],SEM SOGEVAL,Autre,La présente consultation a pour objet la conclusion d'un marché privé relatif à la mise à niveau et extension du Catex des Lacs à Bonneval-sur-Arc,"déclencheur d'avalanche, explosif",Marchés européens,Procédure Ouverte,Avis de marché,26-62181,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62181,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62181.pdf
26-61923,2026-06-25,2026-07-31 11:00:00,33,['33'],CHU BORDEAUX,Autre,Travaux d'entretien courant : Divers postes pour le GHT Alliance Gironde,"chauffage (travaux), climatisation, cloison, faux plafond, démolition, gros oeuvre, maçonnerie, plomberie (travaux), plâtrerie, ventilation, voirie et réseaux divers",Marchés européens,Procédure Ouverte,Avis de marché,26-61923,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-61923,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-61923.pdf
26-62371,2026-06-25,2026-07-01 10:00:00,18,['18'],Communauté d'agglomération Bourges Plus,Agglomération,Aménagement des accès au champ captant de Souaire - Création d'ouvrages de franchissement de cours d'eau,"travaux dans l'eau, voirie et réseaux divers",Marchés européens,Procédure Ouverte,Avis de marché,26-62371,3.2.5,2,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62371,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62371.pdf
26-62661,2026-06-25,2026-07-28 10:30:00,88,['88'],Commune de Uriménil,Ville,URIMENIL - CORDERIE BIHR - TRAVAUX DE REHABILITATION DU BATIMENT DE LA CLOCHE ET AMENAGEMENT DES ESPACES EXTERIEURS-.,tous corps d'état,Marchés européens,Procédure Ouverte,Avis de marché,26-62661,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62661,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62661.pdf
26-62687,2026-06-25,2026-08-28 10:00:00,76,['76'],SPL RNAS,Autre,Construction d'un gymnase sur la ZAC Rouen Innovation Santé à Rouen,serrurerie,Marchés européens,Procédure Ouverte,Avis de marché,26-62687,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62687,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62687.pdf
26-62707,2026-06-25,2026-08-07 10:00:00,13,['13'],Ville de Marseille,Ville,"Travaux de réhabilitation et d'extension du groupe scolaire Montolieu, rue du bon pasteur, 13002 Marseille",tous corps d'état,Marchés européens,Procédure Ouverte,Avis de marché,26-62707,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62707,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62707.pdf
26-62376,2026-06-25,2026-07-30 13:00:00,22,"['22', '29', '56']",LES ATELIERS DES CAPUCINS,Autre,Travaux d’aménagements scénographiques intérieurs des Halles Saint-Louis,bâtiment,Marchés européens,Procédure NC,Avis de marché,26-62376,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62376,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62376.pdf
26-62696,2026-06-25,,85,['85'],Département de la Vendée,Département,Travaux de construction d'un parking silo - Ilot Briand - à La Roche-sur-Yon,tous corps d'état,Marchés européens,Procédure Ouverte,Résultat de marché,26-62696,3.2.5,0,False,False,,False,False,True,https://www.boamp.fr/pages/avis/?q=idweb:26-62696,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62696.pdf
26-62328,2026-06-25,2026-07-21 18:00:00,972,['972'],DID Fort de France,Autre,MARTINIQUE (972) – FORT-de-FRANCE – Morne Desaix – Construction d’un bâtiment Cadres Célibataires (BCC) 40 place,bâtiment,Marchés européens,Procédure Ouverte,Avis de marché,26-62328,3.2.5,-4,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62328,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62328.pdf
26-62623,2026-06-25,2026-09-07 14:00:00,76,['76'],Département de la Seine-Maritime - DCE1,Département,"Accord-cadre :  travaux de fermeture/cloture/portail Zones de ROUEN, LE HAVRE et DIEPPE",bâtiment,Marchés européens,Procédure Ouverte,Avis de marché,26-62623,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62623,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62623.pdf
26-62816,2026-06-25,2026-07-20 12:00:00,95,['95'],Ville de Saint Gratien,Ville,"Reconstruction et amélioration du confort thermique du centre culturel Camille Claudel - MARCHE COMPLEMENTAIRE
Lot n° 10 : rénovation intérieure du bâtiment B niveau rez de jardin - TCE",bâtiment,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-62816,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62816,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62816.pdf
26-62918,2026-06-25,2026-07-23 17:00:00,66,['66'],Communauté de communes Corbières Salanque Méditerranee,Agglomération,Travaux De Climatisation Et D'Amelioration De La Performance Energetique De La Salle Polyvalente De Salses Le Chateau,climatisation,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-62918,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62918,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62918.pdf
26-62940,2026-06-25,2026-07-24 12:00:00,59,['59'],Syndicat Intercommunal d&#039;Assainissement du Denaisis,Agglomération,Travaux de mise en séparatif du réseau d'assainissement de la rue Narcisse Delrot à Hélesmes,"assainissement, terrassement, canalisations",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-62940,3.2.5,-2,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62940,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62940.pdf
26-62886,2026-06-25,2026-07-16 16:00:00,03,['3'],Ville Moulins,Ville,REFECTION DES RESEAUX DE CHAUFFAGE DE L'HÔTEL DE VILLE DE MOULINS - LOT N°2 PEINTURE,peinture (travaux),Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-62886,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62886,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62886.pdf
26-62836,2026-06-25,,57,"['57', '71']",ENSAM,Autre,TCE Travaux de Plomberie des campus de Cluny et de Metz,plomberie (travaux),Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-62836,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62836,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62836.pdf
26-63048,2026-06-25,2026-07-20 12:00:00,53,['53'],SEM Laval Mayenne Aménagements,Autre,MARCHÉ PUBLIC DE TRAVAUX POUR LA REQUALIFICATION DE L’ILOT CENTRE-BOURG – RUE DES TISSERANDS DE LA COMMUNE DE LE HORPS (53640),"amiante (désamiantage), charpente, couverture, démolition, espaces verts, gros oeuvre",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-63048,3.2.5,1,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-63048,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-63048.pdf
26-63017,2026-06-25,2026-07-22 12:00:00,75,"['75', '77', '78', '91', '92', '93', '94', '95']",DISP PARIS,Autre,TRAVAUX DE RENOVATION DES DOUCHES DE DETENTION A LA MC DE POISSY,"maçonnerie, peinture (travaux), plomberie (travaux)",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-63017,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-63017,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-63017.pdf
26-63022,2026-06-25,2026-07-20 17:00:00,25,['25'],REGION BOURGOGNE-FRANCHE-COMTE,Autre,25_BESANCON Lycée Victor Hugo - Migration centrale incendie site principal,electricité (travaux),Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-63022,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-63022,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-63022.pdf
26-63202,2026-06-25,2026-07-24 12:00:00,56,['56'],REGION BRETAGNE,Autre,Réfection de la maison éclusière n° 108 - La Cascade à Pontivy (56),gros oeuvre,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-63202,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-63202,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-63202.pdf
26-63070,2026-06-25,2026-08-25 12:00:00,52,['52'],Commune de Saint-Dizier,Ville,Marquages routiers pour la signalisation horizontale-.,peinture (travaux),Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-63070,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-63070,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-63070.pdf
26-63137,2026-06-25,,89,['89'],Syndicat Mixte Yonne Médian,Agglomération,Travaux restauration Poilly-sur-Tholon,travaux dans l'eau,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-63137,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-63137,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-63137.pdf
26-63250,2026-06-25,,978,['978'],Centre Hospitalier Louis Constant Fleming (978),Autre,Travaux de réhabilitation de la psychiatrie du Centre Hospitalier Louis Constant Fleming,"gros oeuvre, charpente, electricité (travaux), plomberie (travaux)",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,26-63250,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-63250,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-63250.pdf
26-63256,2026-06-25,2026-07-17 14:30:00,59,"['59', '75', '83']",MUSEE NATIONAL DE LA MARINE,Autre,"Travaux d’aménagements de l’exposition temporaire « PLONGÉE(S) DANS L’INCONNU, L’aventure sous-marine en Méditerranée », fabrication de mobiliers scénographiques modulables et pérennes au MnM – Toulon",oeuvre d'art,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-63256,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-63256,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-63256.pdf
26-63292,2026-06-25,2026-07-23 14:00:00,93,['93'],Département de la Seine-Saint-Denis,Département,"Travaux de recouvrement de revêtements de sols amiantés dans les collèges et bâtiments départementaux, fourniture et livraison de matériaux",amiante (désamiantage),Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-63292,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-63292,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-63292.pdf
26-62823,2026-06-25,2026-07-27 12:00:00,76,"['76', '27']",Commune d'Envermeu,Ville,Travaux de réhabilitation des réseaux d'assainissement d'eaux usées de la commune d'Envermeu,"canalisations, assainissement",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-62823,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62823,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62823.pdf
26-63018,2026-06-25,,14,['14'],CONSEIL DEPARTEMENTAL DU CALVADOS (CD 14),Département,2025DDR178 - Travaux de comblement de vides de cavités et de consolidation des sols,voirie,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-63018,3.2.5,2,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-63018,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-63018.pdf
26-62909,2026-06-25,,95,['95'],VILLE DE JOUY LE MOUTIER,Ville,Travaux de végétalisation de la place du Bien-être à Jouy-le-Moutier,"terrassement, végétaux",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,26-62909,3.2.5,1,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62909,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62909.pdf
26-62971,2026-06-25,2026-07-21 12:00:00,62,['62'],Mairie de Harnes,Ville,Relance Aménagement du cimetière du centre,gros oeuvre,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-62971,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62971,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62971.pdf
26-63093,2026-06-25,2026-07-27 12:00:00,04,['4'],Ville de Manosque,Ville,Fouilles Archeologiques Preventives Pour La Restauration De L'Eglise Saint Sauveur,"monuments historiques, terrassement",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-63093,3.2.5,1,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-63093,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-63093.pdf
26-62851,2026-06-25,2026-08-07 12:00:00,62,['62'],VILLE DE SAINT-OMER,Ville,REQUALIFICATION DE L'AIRE DE JEUX DU JARDIN PUBLIC DE ST OMER,aire de jeux,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-62851,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62851,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62851.pdf
26-62803,2026-06-25,,39,['39'],Mairie de Saint-Claude,Ville,Marché de travaux d'étanchéité de la galerie du Barrage d'Étables,travaux dans l'eau,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-62803,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-62803,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-62803.pdf
26-63103,2026-06-25,,31,['31'],Institut Supérieur de l'Aéronautique et de l'Espace,Autre,"Travaux de mise en place de protections collectives en toiture, remplacement d'échelles crinoline et création d'enjambeurs sur les bâtiments R38 et R49 de l'Isae-Supaero","couverture, matériel de sécurité, ouvrage métallique, serrurerie",Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-63103,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-63103,https://www.boamp.fr/telechargements/FILES/PDF/2026/06/26-63103.pdf
